sales_commission_code,discount_amount,discount_id
\N,0.0,dis_bc51e20f-0239-463a-83ff-8b4a9596b24d
R-FSD-52352,300.0,dis_59b98620-e013-4b2e-9c6a-c50882ae4a4d
\N,300.0,dis_3fe47e2f-7886-4a40-8ee9-fb28e13cd8fe
105259,0.0,dis_71d44a4f-f511-4768-8c9e-a1b3e0389dbe
R-KHW-104406,0.0,dis_ea27d2b9-0518-48b7-a394-7d787da3d274
R-FSD-58130,0.0,dis_a0975946-88ca-42ef-b2c2-d14708a8808b
\N,82.5,dis_ec78f83c-c2f2-45d3-9cd8-45522d69435c
\N,217.5,dis_61f69dce-df84-44b6-bd44-4588f8b808bf
\N,19.15,dis_959637d8-f3c3-4b97-b8db-05d74c06a6a4
\N,180.85,dis_45a63fde-a974-4741-85f1-934ee63a2664
\N,77.72,dis_85a3936f-3bef-46af-bd97-0e5ef62906ae
\N,122.28,dis_64be4ec6-3db9-447f-bd83-c30ae3e0188f
C-PEW-104656,0.0,dis_f6e4e8a5-8fcd-4a9b-af0e-5faad740e62d
C-Rwp-101853,0.0,dis_ab22bcd6-63f3-4e79-b5ec-28c7e026ae72
C-ISB-47491,0.0,dis_34a217e9-bdc0-4384-bdea-caefbc03cb0e
c-uet-44938,0.0,dis_0bc478e1-cbf8-49a8-a6ed-645799e93cea
C-RWP-103867,0.0,dis_d138f8c3-9f4c-4410-a565-11ab90c13f1e
R-KHS-104405,0.0,dis_068390b2-68fe-4e94-bc66-44aa8dfbf2d4
104835,0.0,dis_4d5bcdd6-4f18-4341-9fe1-6cc962eeb7ce
C-ISB-105964,0.0,dis_6cb6997e-4c7e-4e6b-b5cf-4fcf5206880e
865116,0.0,dis_bd2e0182-86b4-4f2b-bf5a-f1b642760d01
C-ISB-40310,0.0,dis_be745985-ae5b-4cd9-a8b5-2e8b7ae2596a
C-ISB-102148,0.0,dis_c698eda1-144b-4edc-9fee-65db69149d64
C-RWP-102627,0.0,dis_63ae917d-9e40-480b-96ff-9f4c35357a29
R-PEW-41424,0.0,dis_b1d0babc-3f00-4300-8263-ba9daebe62b4
C-MUX-33202,0.0,dis_e0ee4cb4-4664-4bd9-a761-2fd62e14b62a
C-KHS-44926,0.0,dis_472b2be3-6c7c-468b-a690-7a07bc067407
C-RWP-66032,0.0,dis_cf157677-a2f8-4163-9a21-dc44bc92b2f7
C-RWP-31924,0.0,dis_406111c6-6a66-4a6f-bcc3-e736c12e0bf5
C-MUX-106279,0.0,dis_9412f0fd-19d6-4763-b685-217301fa9e70
C-MUX-43032,0.0,dis_902e569e-b17f-4f2e-bed3-294699b8eea3
R-LHW-105666,0.0,dis_9f56e99f-701a-46ce-94c7-9552366afab8
C-PEW-105784,0.0,dis_95b898d0-f7a6-4430-a6ee-4f044db04bcd
C-MUX-48271,0.0,dis_a089f154-738c-42d5-9dfb-f6dfb5779bcf
C-KHS-31122,0.0,dis_64cc1ac0-0fde-4836-86a1-340e285ad2ef
R-KHS-103986,0.0,dis_9c15c74e-9f2e-4dc0-92fd-65dcb6bc3574
C-MUX-100079,0.0,dis_66f21143-c0cd-4b8d-8bae-602bfc0169d2
C SKZ 41328,0.0,dis_d4273683-7c2b-450b-b6ca-2a7f14495377
C-RWP-41876,0.0,dis_c39681db-d927-420f-9a01-9b33c95584d1
C-RWP-47599,0.0,dis_80c49893-5e67-4c9a-8d95-194a47216b30
C-FSD-41249,0.0,dis_df28ef89-edcb-4e68-bc61-dfd596ebf216
C-RWP-102528,0.0,dis_f7af547b-1e02-4cf2-adb9-69b4c57b99de
C LHE 41938,0.0,dis_57328019-6320-4e16-a43b-b405a4f0f879
C-RWP-30884,0.0,dis_ca76d75b-250c-41f7-a576-861763f24441
C-RWP-31520,0.0,dis_05438296-55c0-4a42-b275-245d367b5236
C-RWP-31691,0.0,dis_be8d2ee4-907b-4c30-94e2-85f6d984742b
C SKZ 103997,0.0,dis_f2a1fbc4-2aec-4ad6-bade-8ea53b6e0bee
c-fsd-759,200.0,dis_c915c278-5512-44ec-b36c-1305ae4978c2
C-MUX-R52221,0.0,dis_49666f33-d511-4210-8419-5c07af24b79d
7828,0.0,dis_ddf593e7-db9f-4512-9695-d2687e1b4c3f
c-fsd-759,149.3,dis_ef97cca7-3168-48a9-bac5-5da4c50908e4
c-fsd-759,50.7,dis_964a2e2c-deb1-4437-a165-d26f713914a1
c-fsd-759,148.57,dis_8ba70a39-245a-410c-9bf4-cc5139379ea1
c-fsd-759,51.43,dis_ce8bb0b1-f80c-4751-af1f-550c5a0499c8
C-HDD-44781,0.0,dis_682d8bf3-8bd6-4eb1-abbb-a8fb59ddf3de
R-RWP-103991,0.0,dis_6fa09361-d8d8-46cf-baa1-822c76e1af45
c-fsd-759,81.52,dis_f65e539d-7523-4533-83ce-bf990f63c9c3
c-fsd-759,77.72,dis_6e27a65f-97a8-44e2-a31a-3ec255d1d936
c-fsd-759,40.76,dis_370df8ae-8822-4142-9e15-49ce956b6194
103996,0.0,dis_7b9d0d80-569f-432b-a6dd-b7bc3a59d5a9
R-ISB-58059,0.0,dis_39fda77a-8d63-48ec-86f3-c88d6c60915d
C-FSD-42225,200.0,dis_92b6734f-1c19-4f6e-a54e-610d16260b2f
c-mux-47236,0.0,dis_274839a2-38e6-4243-8eb5-9f9b812e02c0
C-ISB-103273,0.0,dis_c3b6d619-8a7c-4e5b-8ef6-adefc7810d95
C-MUX-52058,0.0,dis_766e1be4-0870-4d75-b496-695f4b7a6bea
R-PEW-50644,0.0,dis_70bad1b4-0513-4e19-bc1e-1b9c2ae491ae
C-MUX-31510,0.0,dis_554bbe29-8f86-4dac-8bfe-2737102aaa04
80645,0.0,dis_89a275b4-7fc6-4015-9be5-e32d72de472e
C-MUX-7521,0.0,dis_75812383-2829-410b-953a-d384e6db83dd
51442,0.0,dis_749096dc-117e-47bd-a451-8acd44bd1812
C-MUX-20260,0.0,dis_cbeec67a-ac23-43c6-bd05-5a43ed76747a
R-isb-57478,0.0,dis_a05c8452-df17-4fcf-ad9e-2d41704269c9
R-LHC-104132,0.0,dis_58bef2dc-2ab1-497e-b1a9-22e0dc55de4e
C LHE 40936,0.0,dis_cab3cf5e-96e2-4af0-bb07-9d5a47b6d07e
R-KHS-103982,0.0,dis_12912b9b-b610-47d4-808b-9472053bdf3d
C-ISB-42133,0.0,dis_00679b18-7acd-4c98-b8d8-aa7c561f425b
C-ISB-84674,0.0,dis_e4ceccf2-f268-41f5-86eb-ffe6e1d2458e
C-KHC-34670,0.0,dis_743adc40-c7c4-49d2-9beb-a925f5a2615b
C-MUX-30078,0.0,dis_7b00f6dc-4e6f-40d2-97e9-d3e610a10379
C-FSD-43702,0.0,dis_f664efaf-93ed-430d-8062-74e33f81d29b
R6596,0.0,dis_a1c8f513-6c04-4b2b-ba97-f179cfd82963
R-LHW-104137,0.0,dis_95d76f4b-c288-4e83-bc51-37afff83f59a
C-MUX-104110,0.0,dis_a86933af-408e-4384-8922-30ec94672831
R-LHE-90613,0.0,dis_100243da-13d6-4882-9c72-0025fa282ffa
C-MUX-102023,0.0,dis_5855af05-2069-40a0-b4b3-12654e729709
C-GUJ-52213,0.0,dis_6a01aba3-f9ae-4176-8fe9-1945a63b4405
C-MUX-105333,0.0,dis_d1bdc8c5-f13b-4fce-96a9-402660afa891
C-MUX-104331,0.0,dis_4aa5af97-9608-4483-9393-47a6d9acacec
R-LHC-104138,0.0,dis_9489735a-3fcc-4ae8-a05a-85e4a0ea1563
\N,157.38,dis_bba51a63-3eec-4da8-bba1-d640dfb4db06
\N,142.62,dis_6b67b274-2f92-4317-a297-e08b497417da
\N,54.79,dis_67ee5ed5-788e-4731-be60-ef8fc1bd7711
\N,35.62,dis_c5eef3a4-2260-44d9-8ae9-fc737a41e34e
\N,49.32,dis_f62a9ee1-5d1c-4b4f-a669-1a0ecd9b2dc6
\N,60.27,dis_22dc437c-7044-45bd-8cda-512e6a2eb380
80226,0.0,dis_b7b9ba1a-833e-47b9-b7ee-17bd08eefa29
